county,license_number,operation_type,establishment_type,entity_name,DBA_name,street_number,street_name,city,state,zip_code,square_footage
Albany,720644,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07708,601,SARATOGA ST,COHOES,NY,12047,2500
Albany,734310,Store,A,GREEN ISLAND MART INC,GREEN ISLAND MART,165,PAINE STREET,GREEN ISLAND,NY,12183,1800
Albany,720557,Store,JAC,"SAEED SADIQ, SAIKA NOREEN        ",19 STREET QUICK STOP,315,19TH STREET,WATERVLIET,NY,12189,1200
Albany,724747,Store,JAC,SUNOCO RETAIL LLC,SUNOCO #2706,1465,WASHINGTON AVE,ALBANY,NY,12203,3000
Albany,730927,Store,JAC,NAPREDAK LLC,KNOX STORE,2160,BERNE ALTAMONT RD,KNOX,NY,12107,700
Albany,720578,Store,A,ADIRONDACK S AND S LLC,NEWSSTAND,1,CROSSGATES MALL RD D 105,ALBANY,NY,12203,600
Albany,724678,Store,JAC,SAUCY BOY LLC,SAUCY BOY,113,EVERETT RD,ALBANY,NY,12205,0
Albany,734352,Store,JAC,N & M MART CORP,N & M MART,1348,CENTRAL AVENUE,ALBANY,NY,12205,0
Albany,731013,Store,JAC,LITHIA ARMORY GARAGE LLC,ARMORY MINI MART,926,CENTRAL AVENUE,ALBANY,NY,12205,0
Albany,724469,Store,JAC,SC OF UPSTATE NY INC,SMOKERS CHOICE,215,WESTERN AVE,ALBANY,NY,12203,2000
Albany,724461,Store,JAC,EL PILON MARKET INC,EL PILON MARKET,179,S PEARL STREET,ALBANY,NY,12202,1500
Albany,726475,Store,JAC,YEMLIHA KAYA,GULKAYA,4449,WESTERN TPKE,ALTAMONT,NY,12009,800
Albany,732394,Store,A,WALGREEN EASTERN CO INC,RITE AID #04805,2463,US ROUTE 9W,RAVENA,NY,12143,10000
Albany,725030,Store,A,MANI PETROLINE INC,MANI PETROLINE,213,MAIN STREET,RAVENA,NY,12143,0
Albany,720646,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07710,1358,NEW SCOTLAND RD,SLINGERLANDS,NY,12159,2500
Albany,731050,Store,JAC,SHREE DAKSAH INC,PINE HILLS MARKET,504,HUDSON AVE,ALBANY,NY,12206,1200
Albany,732390,Store,A,WALGREEN EASTERN CO INC,RITE AID #10684,933,LOUDON ROAD,LATHAM,NY,12110,8000
Albany,724262,Store,JAC,TRI-CITY MART INC,TRI-CITY MART,125,MAIN ST,COHOES,NY,12047,1600
Albany,732386,Store,A,WALGREEN EASTERN CO INC,RITE AID #10690,1901,2ND AVENUE,WATERVLIET,NY,12189,10500
Albany,724230,Store,JAC,VIOSTRA HOLDINGS INC,ROUTE 20 CAFE,1823,WESTERN AVE,ALBANY,NY,12203,1200
Albany,732385,Store,A,WALGREEN EASTERN CO INC,RITE AID #10692,911,CENTRAL AVENUE,ALBANY,NY,12206,10000
